location,date,total_cases,new_cases,total_deaths,new_deaths,gdp_per_capita,population
Australia,2019-12-31,0,0,0,0,44648.71,25499881
Australia,2020-01-01,0,0,0,0,44648.71,25499881
Australia,2020-01-02,0,0,0,0,44648.71,25499881
Australia,2020-01-03,0,0,0,0,44648.71,25499881
Australia,2020-01-04,0,0,0,0,44648.71,25499881
Australia,2020-01-05,0,0,0,0,44648.71,25499881
Australia,2020-01-06,0,0,0,0,44648.71,25499881
Australia,2020-01-07,0,0,0,0,44648.71,25499881
Australia,2020-01-08,0,0,0,0,44648.71,25499881
Australia,2020-01-09,0,0,0,0,44648.71,25499881
Australia,2020-01-10,0,0,0,0,44648.71,25499881
Australia,2020-01-11,0,0,0,0,44648.71,25499881
Australia,2020-01-12,0,0,0,0,44648.71,25499881
Australia,2020-01-13,0,0,0,0,44648.71,25499881
Australia,2020-01-14,0,0,0,0,44648.71,25499881
Australia  ,2020-01-15,0,0,0,0,44648.71,25499881
Australia,2020-01-16,0,0,0,0,44648.71,25499881
Australia,2020-01-17,0,0,0,0,44648.71,25499881
Australia,2020-01-18,0,0,0,0,44648.71,25499881
Australia,2020-01-19,0,0,0,0,44648.71,25499881
Australia,2020-01-20,0,0,0,0,44648.71,25499881
Australia,2020-01-21,0,0,0,0,44648.71,25499881
Australia,2020-01-22,0,0,0,0,44648.71,25499881
Australia,2020-01-23,0,0,0,0,44648.71,25499881
Australia,2020-01-24,0,0,0,0,44648.71,25499881
Australia  ,2020-01-25,1,1,0,0,44648.71,25499881
Australia,2020-01-26,4,3,0,0,44648.71,25499881
Australia,2020-01-27,4,0,0,0,44648.71,25499881
Australia,2020-01-28,4,0,0,0,44648.71,25499881
Australia,2020-01-29,4,0,0,0,44648.71,25499881
Australia,2020-01-30,6,2,0,0,44648.71,25499881
Australia,2020-01-31,7,1,0,0,44648.71,25499881
Australia,2020-02-01,9,2,0,0,44648.71,25499881
Australia,2020-02-02,11,2,0,0,44648.71,25499881
Australia,2020-02-03,11,0,0,0,44648.71,25499881
Australia,2020-02-04,11,0,0,0,44648.71,25499881
Australia,2020-02-05,12,1,0,0,44648.71,25499881
Australia,2020-02-06,13,1,0,0,44648.71,25499881
Australia,2020-02-07,14,1,0,0,44648.71,25499881
Australia,2020-02-08,14,0,0,0,44648.71,25499881
Australia,2020-02-09,14,0,0,0,44648.71,25499881
Australia,2020-02-10,14,0,0,0,44648.71,25499881
Australia,2020-02-11,14,0,0,0,44648.71,25499881
Australia,2020-02-12,14,0,0,0,44648.71,25499881
Australia,2020-02-13,14,0,0,0,44648.71,25499881
Australia,2020-02-14,15,1,0,0,44648.71,25499881
Australia,2020-02-15,15,0,0,0,44648.71,25499881
Australia,2020-02-16,15,0,0,0,44648.71,25499881
Australia,2020-02-17,15,0,0,0,44648.71,25499881
Australia,2020-02-18,15,0,0,0,44648.71,25499881
Australia,2020-02-19,15,0,0,0,44648.71,25499881
Australia,2020-02-20,15,0,0,0,44648.71,25499881
Australia,2020-02-21,17,2,0,0,44648.71,25499881
Australia,2020-02-22,21,4,0,0,44648.71,25499881
Australia,2020-02-23,22,1,0,0,44648.71,25499881
Australia,2020-02-24,22,0,0,0,44648.71,25499881
Australia,2020-02-25,22,0,0,0,44648.71,25499881
Australia,2020-02-26,22,0,0,0,44648.71,25499881
Australia,2020-02-27,23,1,0,0,44648.71,25499881
Australia,2020-02-28,23,0,0,0,44648.71,25499881
Australia,2020-02-29,25,2,0,0,44648.71,25499881
Australia,2020-03-01,26,1,1,1,44648.71,25499881
Australia,2020-03-02,29,3,1,0,44648.71,25499881
Australia,2020-03-03,33,4,1,0,44648.71,25499881
Australia,2020-03-04,41,8,1,0,44648.71,25499881
Australia,2020-03-05,52,11,2,1,44648.71,25499881
Australia,2020-03-06,59,7,2,0,44648.71,25499881
Australia,2020-03-07,63,4,2,0,44648.71,25499881
Australia,2020-03-08,74,11,3,1,44648.71,25499881
Australia,2020-03-09,80,6,3,0,44648.71,25499881
Australia,2020-03-10,100,20,3,0,44648.71,25499881
