tweetID,text_score,text_score_expansion,hashtag,hasURL,isReply,length,tweet_topic_time_diff,semantic_overlap,#entityTypes,#entities,organization_entities,person_entities,work_entities,event_entities,species_entities,places_entities,nFollowers,nFriends,nFavorties,nListed,isVerified,isGeoEnabled,twitterAge,#tweetsPosted,relevanceJudge
1,-16,-16,0,0,0,38,1,0,0,1,0,0,0,0,0,0,191,120,5,2,0,0,1.583843,14823,0
2,-16,-16,0,1,0,116,3,0,0,1,0,0,0,0,0,0,299,3,0,6,0,1,2.794504,38983,0
3,-9.24791,-7.22869,0,1,0,87,8,0,2,3,0,1,1,0,0,0,2402,1367,2,47,0,0,3.33463,29622,0
4,-10.8341,-10.406,0,1,0,56,0,0,0,1,0,0,0,0,0,0,285,1370,0,4,0,0,1.679428,1999,0
5,-16,-16,0,0,1,54,8,0,0,1,0,0,0,0,0,0,209,436,16,3,0,1,1.098348,10072,0
6,-16,-16,0,1,0,78,0,0,0,1,0,0,0,0,0,0,1168,0,0,27,0,0,1.379249,96636,0
7,-16,-16,1,0,0,94,0,0,1,3,0,0,1,0,0,0,1161,1155,6111,105,0,0,2.842743,2898,0
8,-16,-9.44037,0,1,0,61,2,0,1,3,0,0,0,0,0,2,27,69,0,0,0,0,1.38596,273,0
9,-16,-16,0,1,1,13,0,0,0,0,0,0,0,0,0,0,535,538,5,11,0,1,2.984843,23008,0
10,-16,-16,0,1,0,116,1,0,2,3,1,2,0,0,0,0,2888,2906,0,47,0,0,2.470914,47869,0
11,-16,-16,0,1,0,63,1,0,1,1,0,1,0,0,0,0,523,0,29,2,0,0,2.442875,26413,0
12,-7.21023,-7.23209,0,1,0,87,0,1,2,4,2,2,0,0,0,0,1451,2001,4,39,0,0,3.087875,2165,1
13,-16,-16,0,1,0,118,0,0,1,5,0,0,0,0,0,1,6750,734,1305,447,0,0,2.528813,57039,0
14,-16,-16,0,1,0,115,7,1,2,5,0,1,1,0,0,0,141,925,2,0,0,0,1.291395,487,0
15,-16,-16,0,0,0,29,1,0,0,0,0,0,0,0,0,0,119,291,20,7,0,1,2.899843,3489,0
16,-16,-16,0,1,0,116,1,0,0,0,0,0,0,0,0,0,83,56,0,0,0,0,2.659542,446,0
17,-16,-16,0,1,0,106,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,-16,-16,0,0,0,137,0,0,2,4,0,1,1,0,0,0,181,251,2,10,0,1,2.35934,1140,0
19,-16,-16,0,0,0,78,5,0,1,2,0,0,1,0,0,0,1462,1178,13,6,0,0,2.021357,17542,0
20,-16,-16,0,1,0,114,14,0,1,3,0,0,0,0,1,0,7066,6225,3,35,0,0,4.056139,2966,0
21,-7.71343,-7.85718,1,0,0,74,0,1,1,4,1,0,0,0,0,0,104,22,23,1,0,0,2.599559,3371,0
22,-16,-16,0,1,0,95,0,0,1,5,1,0,0,0,0,0,115,0,0,0,0,0,1.227859,4382,0
23,-7.3208,-6.29539,0,1,0,58,13,1,1,3,1,0,0,0,0,0,517,1024,31,7,0,1,1.462524,2370,1
24,-16,-16,0,1,0,95,0,0,1,1,0,1,0,0,0,0,184,172,0,1,0,1,2.760005,5068,0
25,-16,-16,1,0,0,98,0,0,1,4,1,0,0,0,0,0,412,4,11,55,0,0,1.917043,2769,0
26,-11.1539,-16,0,0,1,61,5,0,0,0,0,0,0,0,0,0,3364,327,6,64,0,0,1.267302,21154,0
27,-16,-16,0,1,0,62,0,0,1,5,0,1,0,0,0,0,305,869,0,0,0,0,1.118601,1601,0
28,-16,-16,0,1,0,37,4,0,1,2,0,0,1,0,0,0,1338,1995,0,71,0,0,1.629925,3313,0
29,-16,-16,1,0,0,122,0,0,0,0,0,0,0,0,0,0,3127,1858,0,111,0,0,2.503138,416,0
30,-10.6673,-10.1999,0,0,1,33,15,0,1,1,0,0,1,0,0,0,67,44,1,1,0,0,1.172588,5966,0
31,-10.7818,-10.2322,1,0,0,85,6,0,0,0,0,0,0,0,0,0,3337,147,27,151,0,0,1.418487,17378,0
32,-16,-16,0,1,0,111,7,0,0,0,0,0,0,0,0,0,427,688,320,3,0,1,2.20672,15420,0
33,-16,-16,0,0,0,125,0,0,0,7,0,0,0,0,0,0,1035,254,87,15,0,1,3.23997,71190,0
34,-16,-16,0,1,0,116,0,0,2,4,0,1,0,0,0,3,124,163,2,3,0,0,1.963058,1563,0
35,-16,-16,0,0,0,111,6,0,1,3,0,1,0,0,0,0,1343,729,14,54,0,0,2.987224,63546,0
